BuildingType,PropertyGFABuilding(s),YearBuilt,Longitude,NumberofBuildings,Neighborhood,NumberofFloors,PrimaryPropertyType,ComplianceStatus,SiteEnergyUse(kBtu),PropertyGFATotal,TotalGHGEmissions,Latitude,PropertyGFAParking,ListOfAllPropertyUseTypes,CouncilDistrictCode,OSEBuildingID,Age,Central,Delridge,Downtown,East,Greater duwamish,Lake union,Magnolia / queen anne,North,Northeast,Northwest,Southeast,Southwest,Hospital,Hotel,K-12 School,Laboratory,Large Office,Low-Rise Multifamily,Medical Office,Mixed Use Property,Other,Refrigerated Warehouse,Residence Hall,Restaurant,Retail Store,Self-Storage Facility,Senior Care Community,Small- and Mid-Sized Office,Supermarket / Grocery Store,University,Warehouse,Worship Facility,NonResidential,Nonresidential COS,SPS-District K-12,CSC 2,CSC 3,CSC 4,CSC 5,CSC 6,CSC 7
NonResidential,2.0496005101558095,1990,-122.33166999999999,0.9090909090909091,Downtown,1.1328599915937387,Other,0,11.823386617474004,1.824947033527256,7.920430607367458,47.61195,0.0,"Convention Center, Parking",CSC 7,435,9.517617050819142,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
NonResidential,2.0437095477798866,1927,-122.33798999999999,0.9090909090909091,Downtown,1.2877257294211146,Hotel,1,10.829991873428767,1.822167469508151,5.751711411248191,47.6122,0.0,Hotel,CSC 7,1,20.39205841249586,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
NonResidential,2.0437125305267783,1996,-122.33393000000001,0.9090909090909091,Downtown,1.2708700125157673,Hotel,1,10.896132745805577,1.822462916545062,5.934695079016703,47.613170000000004,2.374334271417086,"Hotel, Parking, Restaurant",CSC 7,2,8.03414494165126,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
NonResidential,2.048880683600808,1969,-122.3381,0.9090909090909091,Downtown,1.4591826342142256,Hotel,1,11.799220349380507,1.8247646085680242,8.09080167756361,47.613929999999996,2.404040918050104,Hotel,CSC 7,3,13.813073453960884,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
NonResidential,2.0446239439274785,1980,-122.34047,0.9090909090909091,Downtown,1.357228364143527,Hotel,1,11.124900702066784,1.82328383392892,6.518339444309429,47.61375,2.3944381001755493,"Hotel, Parking, Swimming Pool",CSC 7,8,11.698022657566806,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Nonresidential COS,2.0420592417423693,1999,-122.33657,0.9090909090909091,Downtown,0.7978618320884237,Other,1,11.056108648605443,1.8223489958851418,5.956347164506819,47.61623,2.3884894064866855,Police Station,CSC 7,9,7.222254072845075,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
NonResidential,2.043459955392599,1926,-122.33283,0.9090909090909091,Downtown,1.2708700125157673,Hotel,1,10.728288099222711,1.8220416657766432,5.372974957074389,47.6139,0.0,Hotel,CSC 7,10,20.529668595478103,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
NonResidential,2.044271506419934,1926,-122.33136,0.9090909090909091,Downtown,1.2029285703519073,Other,1,10.768538164389948,1.8224489131924382,5.620688326389604,47.61327,0.0,Other - Entertainment/Public Assembly,CSC 7,11,20.529668595478103,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
NonResidential,2.0457792292149746,1904,-122.33263000000001,0.9090909090909091,Downtown,1.3277609424063195,Hotel,1,11.11104251740383,1.8231904652752173,6.2417047105552985,47.602940000000004,0.0,Hotel,CSC 7,12,23.40533078583279,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
NonResidential,2.0451669324874464,1969,-122.33413999999999,0.9090909090909091,Downtown,1.2708700125157673,Hotel,1,11.177371711182367,1.8230936226487424,6.86316330510117,47.60695,2.3787356910204838,Hotel,CSC 7,15,13.813073453960884,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
NonResidential,2.0470675623258376,1998,-122.33323,0.9090909090909091,Downtown,1.403580502463054,Hotel,1,11.3968161417049,1.8240083911817633,6.9396547712982635,47.60713,2.3942952099567774,Hotel,CSC 7,16,7.499077242030887,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
NonResidential,2.042420937265296,1928,-122.33346,0.9090909090909091,Downtown,1.2292212673250187,Hotel,1,10.789246034870798,1.821513002866394,6.04767031344811,47.60699,0.0,Hotel,CSC 7,17,20.25377347033129,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
NonResidential,2.0469504238702427,1980,-122.33211999999999,0.9090909090909091,Downtown,1.4366954564518635,Hotel,1,11.318185387608974,1.82395753387267,6.793101643708735,47.608090000000004,2.3936564297683733,"Hotel, Parking",CSC 7,18,11.698022657566806,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
NonResidential,2.042555311413399,1922,-122.33243999999999,0.9090909090909091,Downtown,1.2708700125157673,Hotel,1,11.005113020572928,1.8222477681893543,6.532098312722292,47.60755,2.383032352483787,"Hotel, Parking",CSC 7,19,21.073570643922555,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Nonresidential COS,2.047628054078911,2004,-122.33296999999999,0.9090909090909091,Downtown,1.2708700125157673,Other,1,11.240818403530758,1.824197684364861,5.404613032894778,47.60649,2.3935432925544076,"Data Center, Library, Parking",CSC 7,21,5.7219799153991255,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
