PrimaryPropertyType,Latitude,NumberofFloors,ComplianceStatus,BuildingType,CouncilDistrictCode,OSEBuildingID,Neighborhood,PropertyGFAParking,TotalGHGEmissions,PropertyGFATotal,PropertyGFABuilding(s),SiteEnergyUse(kBtu),NumberofBuildings,Longitude,RecentUpgrade,Central,Delridge,Downtown,East,Greater duwamish,Lake union,Magnolia / queen anne,North,Northeast,Northwest,Southeast,Southwest,High-Rise Multifamily,Hospital,Hotel,K-12 School,Laboratory,Low-Rise Multifamily,Medical Office,Mid-Rise Multifamily,Mixed Use Property,Office,Other,Refrigerated Warehouse,Residence Hall,Restaurant,Retail Store,Self-Storage Facility,Senior Care Community,Supermarket / Grocery Store,University,Warehouse,Worship Facility,Multifamily HR (10+),Multifamily LR (1-4),Multifamily MR (5-9),NonResidential,Nonresidential COS,Nonresidential WA,SPS-District K-12,CSC 2,CSC 3,CSC 4,CSC 5,CSC 6,CSC 7,Age
Mid-Rise Multifamily,47.56146,9.0,1,Multifamily MR (5-9),CSC 1,20430,Southwest,18274,71.55,82876,64602,3093583.0,1.0,-122.38578000000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37
Other,47.56263,1.0,1,NonResidential,CSC 1,20433,Southwest,13124,100.21,41521,28397,3343550.0,1.0,-122.38196,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,68
Supermarket / Grocery Store,47.56197,2.0,1,NonResidential,CSC 1,20435,Southwest,0,13.29,25762,25762,1906384.875,1.0,-122.38108999999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70
Mid-Rise Multifamily,47.561409999999995,7.0,1,Multifamily MR (5-9),CSC 1,20437,Southwest,0,128.91,213016,213016,5149928.5,1.0,-122.37966999999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
Other,47.56245,1.0,1,NonResidential,CSC 1,20439,Southwest,0,210.3,33334,33334,6118300.5,1.0,-122.37805,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32
Office,47.56175,3.0,1,NonResidential,CSC 1,20440,Southwest,0,34.15,43387,43387,2686765.0,1.0,-122.37835,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,35
Low-Rise Multifamily,47.56245,2.0,1,Multifamily LR (1-4),CSC 1,20441,Southwest,0,6.33,23983,23983,908203.625,1.0,-122.37698999999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,56
Low-Rise Multifamily,47.56245,4.0,1,Multifamily LR (1-4),CSC 1,20444,Southwest,0,4.28,29351,29351,614044.6875,1.0,-122.37658,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,53
Mixed Use Property,47.56162,7.0,1,Multifamily MR (5-9),CSC 1,20445,Southwest,20986,73.31,106976,85990,4358944.5,1.0,-122.37655,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13
Low-Rise Multifamily,47.62117,3.0,1,Multifamily LR (1-4),CSC 3,20447,Central,0,50.43,25475,25475,1118772.75,1.0,-122.30226,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,96
